"Provider","Service Offering","Service Model","Impact Level","Status","Authorizations","Reuse"
"Box Inc.","Box Enterprise Cloud Content Collaboration Platform","SaaS","Moderate","FedRAMP Authorized","33","75"
"Broad Institute, Inc.","Terra","PaaS","Moderate","FedRAMP Authorized","2","1"
"Broadcom","Clarity","SaaS","Moderate","FedRAMP Authorized","3","2"
"Broadcom","Rally","SaaS","Moderate","FedRAMP Authorized","1","0"
"Broadcom","Symantec Gov Cloud Security (GCS)","SaaS","Moderate","FedRAMP In Process","0","0"
"Broadcom","General Support Systems (GSS)","PaaS","Moderate","FedRAMP Authorized","1","3"
"Canon U.S.A., Inc.","Canon Office Cloud – Managed Print Services","SaaS","Moderate","FedRAMP Authorized","1","0"
"Casepoint","Casepoint Government","SaaS","Moderate","FedRAMP Authorized","5","4"
"Center for Translational Data Science (CTDS)","Gen3 Data Ecosystems Platform","SaaS","Moderate","FedRAMP Authorized","1","0"
"Center for Translational Data Science (CTDS), University of Chicago and Open Commons Consortium (OCC)","Gen3 Data Commons Service","SaaS","LI-SaaS","FedRAMP Authorized","2","1"
"CFI Group","Customer Feedback Management System (CFMS)","SaaS","Moderate","FedRAMP Authorized","4","3"
"CGI Federal","CGI Federal IaaS Cloud","IaaS","Moderate","FedRAMP Authorized","12","11"
"CGI Federal","Sunflower Asset Management Cloud (SAMC)","SaaS","Moderate","FedRAMP Authorized","1","0"
"CGI Federal","Momentum Enterprise Suite - JAB","SaaS","Moderate","FedRAMP Authorized","1","0"
"ChargePoint, Inc.","CP Fed Cloud","SaaS","LI-SaaS","FedRAMP In Process","0","0"
"Chargie","Electric Vehicle Infrastructure Platform for Government","SaaS","LI-SaaS","FedRAMP In Process","0","0"
"CircleCI","CircleCI Cloud","SaaS","LI-SaaS","FedRAMP Authorized","1","13"
"CirrusMD","CirrusMD Virtual Health Chat for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Cisco AppDynamics","AppDynamics GovAPM","SaaS","Moderate","FedRAMP Authorized","2","38"
"Cisco Systems Inc.","Cisco SD-WAN for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Cisco Systems Inc.","WebEx Contact Center Enterprise for Government (WxCCE-G)","SaaS","Moderate","FedRAMP Authorized","1","0"
"Cisco Systems Inc.","Cisco Umbrella for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Cisco Systems Inc.","Cisco Meraki for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Cisco Systems Inc.","Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government)","SaaS","Moderate","FedRAMP Authorized","7","6"
"Cisco Systems Inc.","Cisco Cloudlock for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"Cisco Systems Inc.","Webex for Government","SaaS","Moderate","FedRAMP Authorized","37","36"
"Citrix","Citrix for Government","SaaS","Moderate","FedRAMP Authorized","3","2"
"Civis Analytics, Inc.","Civis Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"Cloudflare","Cloudflare for Government","SaaS","Moderate","FedRAMP Authorized","5","7"
"Code42","Incydr Gov","SaaS","Moderate","FedRAMP Authorized","1","0"
"Cofense","Cofense PhishMe","SaaS","Moderate","FedRAMP Authorized","10","9"
"Cognosante MVH","Enterprise Cloud Fax Government (ECFax)","SaaS","High","FedRAMP In Process","0","0"
"Cohesity","Cohesity Cloud Services for Government","SaaS","Moderate","FedRAMP In Process","0","0"
"Collabware","Collabspace","SaaS","Moderate","FedRAMP Authorized","2","1"
"Collibra","Collibra Data Intelligence Cloud (CDIC)","SaaS","Moderate","FedRAMP Authorized","4","3"
"Commvault Systems, Inc.","Commvault Cloud powered by Metallic AI","SaaS","High","FedRAMP In Process","0","0"
"Complete Discovery Source","Complete Discovery Source Federal Cloud (CDS-F)","SaaS","Moderate","FedRAMP Authorized","9","8"
"Composite Apps","CuraPatient","SaaS","High","FedRAMP In Process","0","0"
"Concur Technologies, Inc.","Concur Cloud for Public Sector","SaaS","Moderate","FedRAMP In Process","0","0"
"Conquest Cyber","ARMED ATK GOV","SaaS","Moderate","FedRAMP In Process","0","0"
"Contegix","SecureCloud","PaaS","Moderate","FedRAMP Authorized","2","4"
"Content Guru","Storm Cloud Contact Center","SaaS","High","FedRAMP In Process","0","0"
"Continuum GRC, Inc.","ITAM","SaaS","Moderate","FedRAMP Authorized","1","0"
"Copado","Copado GovCloud","SaaS","Moderate","FedRAMP Authorized","2","1"
"CORAS","CORAS Federal","SaaS","High","FedRAMP Authorized","1","0"
"Cority Software Inc.","CorityOne","SaaS","Moderate","FedRAMP Authorized","5","4"
"Cornerstone OnDemand","Unified Talent Management Suite (CUTMS)","SaaS","Moderate","FedRAMP Authorized","19","18"
"CoSo Cloud, LLC.","CoSo Cloud FedRAMP Managed Service Platform for Class and Adobe","SaaS","Moderate","FedRAMP Authorized","5","4"
"Coupa Software Inc","Coupa Spend Management for Federal","SaaS","Moderate","FedRAMP Authorized","2","1"
"Covergent Solutions Inc dba Exiger Government Solutions (EGS)","Exiger Federal Cloud (EFC)","SaaS","Moderate","FedRAMP In Process","0","0"
"Crestron Electronics Inc","Crestron XiO Cloud","SaaS","LI-SaaS","FedRAMP In Process","0","0"
"CrowdStrike, Inc.","CrowdStrike Falcon Platform for Government - High","SaaS","High","FedRAMP Ready","0","0"
"CrowdStrike, Inc.","Falcon Platform","SaaS","Moderate","FedRAMP Authorized","21","127"
"CyberArk Software LTD","CyberArk Identity for Government","SaaS","High","FedRAMP In Process","0","0"
"CyberArk Software LTD","CyberArk Endpoint Privilege Manager for Government","SaaS","High","FedRAMP In Process","0","0"
"CyLogic","CyCloud","IaaS","High","FedRAMP Ready","0","0"
"Cyware Labs, Inc.","Cyware Cyber Fusion Center (CFC)","SaaS","Moderate","FedRAMP Ready","0","0"
"Cyxtera Federal Group, Inc.","Cyxtera Platform Government Edition","IaaS","High","FedRAMP Ready","0","0"
"DataBank Holdings","FedRAMP Compliant CloudPlus","IaaSPaaS","Moderate","FedRAMP Authorized","1","4"
"Databricks, Inc.","Databricks on AWS US East/West","PaaSSaaS","Moderate","FedRAMP Authorized","3","2"
"Databricks, Inc.","Databricks on AWS GovCloud","PaaSSaaS","High","FedRAMP In Process","0","0"
"Datadog","Datadog for Government","SaaS","Moderate","FedRAMP Authorized","7","18"
"Datadog","Datadog","SaaS","LI-SaaS","FedRAMP Authorized","1","104"
"Datavant","Datavant Cloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"Decision Lens Inc.","Decision Lens Software","SaaS","Moderate","FedRAMP Authorized","5","4"
"Deloitte","Digital Contact Center (D2C2)","PaaSSaaS","Moderate","FedRAMP Ready","0","0"
"Deloitte","Evidence Management System (EMS)","SaaS","Moderate","FedRAMP Authorized","6","5"
"Deltek - Replicon","Replicon Cloud Platform (Enterprise Time Tracking Platform)","SaaS","Low","FedRAMP Authorized","1","0"
"Devo","Devo.Gov-US","SaaS","Moderate","FedRAMP In Process","0","0"
"DevResults","DevResults","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Digital.ai","Digital.ai Government Cloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"Diligent, Inc.","HighBond","SaaS","Moderate","FedRAMP Authorized","4","3"
"Distributed Solutions, Inc.","AEON","SaaS","Moderate","FedRAMP Authorized","5","4"
"DLH Corporation","DLH Infinibyte Cloud","PaaS","Moderate","FedRAMP Authorized","1","0"
"DNAnexus, Inc.","DNAnexus Platform","PaaS","Moderate","FedRAMP Authorized","3","2"
"DocuSign","DocuSign Federal (eSignature, Gen, Negotiate)","SaaS","Moderate","FedRAMP Authorized","23","29"
"DocuSign","DocuSign CLM","SaaS","Moderate","FedRAMP Authorized","4","26"
"Druva, Inc.","Druva inSync","SaaS","Moderate","FedRAMP Authorized","12","11"
"Druva, Inc.","Druva Data Resiliency Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Duo Security (a Cisco Company)","Duo Federal","SaaS","Moderate","FedRAMP Authorized","11","131"
"Dynatrace","Dynatrace Platform","SaaS","Moderate","FedRAMP Authorized","6","5"
"e-Builder, A Trimble Company","e-Builder Enterprise Government Edition","SaaS","Moderate","FedRAMP Authorized","1","0"
"Economic Systems","Economic Systems Federal Human Resources Navigator","SaaS","Moderate","FedRAMP Authorized","21","20"
"eGain Corporation","eGain Suite","SaaS","Moderate","FedRAMP Authorized","2","1"
"Egnyte Inc.","Egnyte Platform","SaaS","Moderate","FedRAMP Ready","0","0"
"Eightfold AI Inc.","Eightfold Talent Intelligence Platform (TIP)","SaaS","Moderate","FedRAMP In Process","0","0"
"Elastic","Elastic Cloud","SaaS","Moderate","FedRAMP Authorized","4","7"
"End To End Computing","Singularity","SaaS","Moderate","FedRAMP Authorized","1","0"
"Enel X North America","Exchange Platform","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"EnergyCAP LLC.","EnergyCAP","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Ernst & Young LLP","EY Grants Accelerator","SaaS","Moderate","FedRAMP In Process","0","0"
"Esper, Inc.","Esper Regulatory Workflow and Policy Manager","SaaS","LI-SaaS","FedRAMP Ready","0","0"
"ESRI","Esri Managed Cloud Services Advanced Plus","PaaSSaaS","Moderate","FedRAMP Authorized","5","4"
"ESRI","ArcGIS Online (AGO)","SaaS","LI-SaaS","FedRAMP Authorized","14","13"
"ESRI","ArcGIS Online (AGO) Moderate","SaaS","Moderate","FedRAMP In Process","0","0"
"Everbridge","Critical Event Management Suite","SaaS","Moderate","FedRAMP Authorized","21","20"
"Everlaw, Inc.","Everlaw Platform","SaaS","Moderate","FedRAMP Authorized","4","3"
"Evidence Prime","Laser AI","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Ex Libris","Higher-Ed Platform (Alma, Primo, Leganto, Esploro)","SaaS","LI-SaaS","FedRAMP Authorized","9","8"
"Exterro, Inc.","Exterro E-Discovery and Legal Software Platform","SaaS","Moderate","FedRAMP Authorized","2","1"
"FedCloudIA","FedCloudIA","PaaSSaaS","Moderate","FedRAMP Ready","0","0"
"Figma","Figma & FigJam","SaaS","Moderate","FedRAMP In Process","0","0"
"FM:Systems","FMS:Employee","SaaS","LI-SaaS","FedRAMP Authorized","7","6"
"FM:Systems","FMS:Workplace","SaaS","Moderate","FedRAMP In Process","0","0"
"Forcepoint","ONE - Security Service Edge (SSE) - CASB/DLP/SWG/ZTNA","SaaS","Moderate","FedRAMP Authorized","1","0"
"Gallery Systems","MCMS Next","SaaS","Moderate","FedRAMP In Process","0","0"
"GDC Integration, Inc.","General Support System (GSS)","SaaS","Moderate","FedRAMP Authorized","4","3"
"General Services Administration","Login.gov","SaaS","Moderate","FedRAMP Authorized","14","13"
"Genesys","Genesys Cloud CX","SaaS","Moderate","FedRAMP Authorized","3","2"
"Geotab","Geotab Telematics Platform Government (GTP Gov)","SaaS","Moderate","FedRAMP Authorized","1","0"
"GetWellNetwork","GetWellNetwork  - Get Well Anywhere - Federal","SaaS","Moderate","FedRAMP In Process","0","0"
"GitHub","GitHub Enterprise Cloud","SaaS","LI-SaaS","FedRAMP Authorized","13","92"
"Glassbeam, Inc.","Glassbeam Clinsights","SaaS","Moderate","FedRAMP In Process","0","0"
"Google","Google Workspace","SaaS","High","FedRAMP Authorized","14","315"
"Google","Google Services (Google Cloud Platform Products and underlying Infrastructure)","IaaSPaaSSaaS","High","FedRAMP Authorized","14","150"
"Google LLC","Google Cloud VMware Engine (GCVE)","IaaS","High","FedRAMP Ready","0","0"
"Gordian","Gordian Federal Cloud powered by RSMeans Data","SaaS","Moderate","FedRAMP Authorized","4","3"
"Government Retirement & Benefits, Inc.","GRB Platform","SaaS","Moderate","FedRAMP Authorized","8","7"
"Granicus","GovDelivery Communications Cloud","SaaS","Moderate","FedRAMP Authorized","38","37"
"HackerOne","HackerOne Continuous Security Testing Platform","SaaS","LI-SaaS","FedRAMP Authorized","3","32"
"HealthVerity","Privacy Preserving Records Linkage (PPRL)","SaaS","Moderate","FedRAMP Authorized","1","0"
"HireVue","Recruitment Assessments and Video Interviewing","SaaS","Moderate","FedRAMP Authorized","7","6"
"Hootsuite","Hootsuite Enterprise","SaaS","LI-SaaS","FedRAMP Authorized","4","3"
"Huddle US","Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government","SaaS","Moderate","FedRAMP Authorized","6","5"
"Human Resources Technologies, Inc. (HRTec)","Federal High Impact Virtualized Environment (FedHIVE)","IaaSPaaS","High","FedRAMP Authorized","2","1"
"Huron Consulting Group","Huron Performance Accelerators","SaaS","High","FedRAMP In Process","0","0"
"IBM","IBM Federal HR Cloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"IBM","IBM Maximo and TRIRIGA on Cloud for U.S. Federal","SaaS","Moderate","FedRAMP Authorized","8","7"
"IBM","MaaS360 Enterprise Mobility Management","SaaS","Moderate","FedRAMP Authorized","14","13"
"IBM","IBM Cloud for Government","IaaSPaaS","High","FedRAMP Authorized","6","13"
"IBM","SmartCloud for Government","IaaS","High","FedRAMP Authorized","10","9"
"iBoss","iboss Government Cloud Platform (IGCP)","SaaS","Moderate","FedRAMP Authorized","2","1"
"Icertis Inc.","Icertis Contract Intelligence (ICI) for Government","SaaS","Moderate","FedRAMP Ready","0","0"
"ID.me","ID.me Identity Gateway","SaaS","Moderate","FedRAMP Authorized","7","6"
"IdeaScale","IdeaScale Gov","SaaS","Moderate","FedRAMP Authorized","11","10"
"Illumio, Inc.","Illumio Government Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Immersion Consulting LLC","Immersion Cloud","SaaS","Moderate","FedRAMP Ready","0","0"
"Infoblox","BloxOne Threat Defense Federal Cloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"Infor","Infor Government Solutions (IGS) Software as a Service","SaaS","Moderate","FedRAMP Authorized","4","3"
"Informatica LLC","Informatica Intelligent Cloud Services (IICS)","SaaS","Moderate","FedRAMP Authorized","2","3"
"Innovative Discovery, LLC","Innovative Driven Government Cloud (IDGC)","SaaS","Moderate","FedRAMP Authorized","5","4"
"Innovest Systems, LLC","Trust & Wealth Management Solutions","SaaS","Moderate","FedRAMP Authorized","1","0"
"Intelliworx","Intelliworx Cloud Workflow Platform","SaaS","Moderate","FedRAMP Authorized","30","29"
"Ipsos America, Inc.","Ipsos Research","SaaS","Moderate","FedRAMP Authorized","2","1"
"Iron Bow","TriageXpert Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"Iron Mountain","Iron Mountain InSight on AWS","SaaS","Moderate","FedRAMP Ready","0","0"
"Iron Mountain","Iron Mountain InSight","SaaS","Moderate","FedRAMP In Process","0","0"
"Issio Solutions, Inc.","Issio Information System","SaaS","Low","FedRAMP Authorized","1","0"
"IT-CNP","GovDataHosting Cloud Platform","IaaS","High","FedRAMP Authorized","7","6"
"Itamar Medical","Itamar Dispatcher Cloud (IDC)","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Ivanti","Ivanti Neurons for ITSM (Formerly Service Manager)","SaaS","Moderate","FedRAMP Authorized","2","4"
"Ivanti","Ivanti Neurons for MDM (Formerly MobileIron)","SaaS","Moderate","FedRAMP Authorized","2","3"
"Juniper Networks","Juniper Mist","SaaS","Moderate","FedRAMP In Process","0","0"
"Juvare, LLC","Juvare Federal Cloud","SaaS","High","FedRAMP Authorized","1","0"
"Kahua, Inc.","Kahua Federal Network (KFN)","SaaS","Moderate","FedRAMP Authorized","3","2"
"Keeper Security","Keeper Security Government Cloud Password Manager and Privileged Access Manager","SaaS","Moderate","FedRAMP Authorized","4","4"
"Knight Point Systems","CloudSeed","IaaS","Moderate","FedRAMP Authorized","1","0"
"KnowBe4, Inc.","KnowBe4 Platform (KMSAT + PhishER)","SaaS","Moderate","FedRAMP Authorized","17","16"
"Knowledge Services","dotStaff","SaaS","Moderate","FedRAMP Ready","0","0"
"LaunchDarkly","LaunchDarkly","SaaS","Moderate","FedRAMP Authorized","1","17"
"Leidos Digital Solutions, Inc.","IQ FedCloud","SaaS","Moderate","FedRAMP Authorized","4","3"
"Level Access","Accessibility Management Platform (AMP)","SaaS","LI-SaaS","FedRAMP Authorized","2","1"
"Lexmark","Managed Print Service","SaaS","Moderate","FedRAMP In Process","0","0"
"Lookout, Inc.","Lookout Security Platform","SaaS","Moderate","FedRAMP Authorized","5","4"
"Loop Global Inc. ","Loop Electric Vehicle Charging Network-Gov (LEVCN-GOV)","SaaS","Moderate","FedRAMP In Process","0","0"
"Lucid Software, Inc.","Lucid GovSuite","SaaS","Moderate","FedRAMP Authorized","2","1"
"Lumen","Cloud Contact Center","SaaS","Moderate","FedRAMP In Process","0","0"
"M.C. Dean, Inc.","InfraLink","SaaS","Moderate","FedRAMP Authorized","1","0"
"Manhattan Associates, Inc.","Manhattan Government Cloud","SaaS","Moderate","FedRAMP Authorized","1","0"
"MARi, LLC","MARi","SaaS","Moderate","FedRAMP In Process","0","0"
"Mark43, Inc.","Mark43 Public Safety Platform (PSP)","SaaS","High","FedRAMP In Process","0","0"
"Mathematica Inc.","Mathematica Cloud Support System","PaaS","Moderate","FedRAMP In Process","0","0"
"MAXIMUS Inc.","MAXIMUS Intelligent Virtual Assistant (Formerly MIA)","SaaS","Moderate","FedRAMP Authorized","3","2"
"MAXIMUS Inc.","MAXIMUS Cloud","IaaSPaaSSaaS","Moderate","FedRAMP Authorized","6","8"
"MCG Energy Solutions, LLC","MCG Applications and Hosting","IaaSSaaS","Moderate","FedRAMP In Process","0","0"
"MDRC","SPROUT","SaaS","Moderate","FedRAMP Authorized","1","0"
"Medallia Inc.","Mindful by Medallia","SaaS","Moderate","FedRAMP In Process","0","0"
"Medallia, Inc.","Medallia GovCloud","SaaS","High","FedRAMP Authorized","9","8"
"MediaLab, Inc.","MediaLab Federal","SaaS","Moderate","FedRAMP Authorized","2","1"
"Melissa","Melissa GovCloud Address Suite","SaaS","LI-SaaS","FedRAMP Authorized","1","0"
"Menlo Security","Cloud Security Platform powered by Isolation Core","SaaS","Moderate","FedRAMP Authorized","1","0"
"Merlin International","Constellation GovCloud (CGC)","PaaS","Moderate","FedRAMP Authorized","1","0"
"MicroFocus","ITMX Platform featuring Service & Asset Management, Universal Discovery, CMDB and Project & Portfolio Management","PaaSSaaS","Moderate","FedRAMP In Process","0","0"
"MicroFocus","Fortify on Demand","SaaS","Moderate","FedRAMP Authorized","8","7"
"Microsoft","Office 365 Multi-Tenant & Supporting Services","SaaS","Moderate","FedRAMP Authorized","88","233"
"Microsoft","Azure Government (includes Dynamics 365)","IaaSPaaSSaaS","High","FedRAMP Authorized","49","258"
"Microsoft","Azure Commercial Cloud","IaaSPaaSSaaS","High","FedRAMP Authorized","51","313"
"MicroStrategy","MicroStrategy Cloud for Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"MIS Sciences Corporation","GovPoint Cloud Services","IaaSPaaS","Moderate","FedRAMP Authorized","10","9"
"mLINQS","mLINQS Hosting Service","SaaS","Moderate","FedRAMP Authorized","10","9"
"Modus","Modus Government Solutions (MGS)","SaaS","Moderate","FedRAMP Authorized","1","0"
"MongoDB","MongoDB Atlas for Government","PaaSSaaS","Moderate","FedRAMP Authorized","1","1"
"Monster Government Solutions","Monster Hiring Management Enterprise (MHME)","SaaS","Moderate","FedRAMP Authorized","13","12"
"Motorola Solutions","Motorola Solutions Federal Cloud (MSFC)","SaaS","High","FedRAMP In Process","0","0"
"MSM Group, Inc.","iSite Contract Management Portal","SaaS","Moderate","FedRAMP Authorized","1","0"
"MuleSoft","MuleSoft Government Cloud","PaaS","Moderate","FedRAMP Authorized","13","62"
"My Business Matches","Vendor Event & Business Matchmaking Platform","SaaS","Low","FedRAMP In Process","0","0"
"National Institute of Building Sciences (NIBS)","ProjNet","SaaS","Moderate","FedRAMP In Process","0","0"
"National Resident Matching Program","iMatch","SaaS","Moderate","FedRAMP In Process","0","0"
"NCR Government, LLC","NCR Government Cloud","SaaS","Moderate","FedRAMP In Process","0","0"
"NEOGOV","NEOGOV Fed Cloud","SaaS","Moderate","FedRAMP Ready","0","0"
"NetApp","Cloud Insights","SaaS","High","FedRAMP In Process","0","0"
"NetComm","Beacon","SaaS","Moderate","FedRAMP Authorized","1","0"
"NetDocuments Software, Inc.","NetDocuments Document Management System (DMS)","SaaS","Moderate","FedRAMP Authorized","3","2"
"Netskope, Inc.","Netskope OneCloud Government","SaaS","Moderate","FedRAMP Authorized","3","2"
"Netskope, Inc.","Netskope GovCloud","SaaS","High","FedRAMP In Process","0","0"
"New Relic","New Relic","SaaS","Moderate","FedRAMP Authorized","6","80"
"Newyu, Inc.","LibreView for US Government","SaaS","Moderate","FedRAMP Authorized","1","0"
"NICE CXone","NICE CXone Customer Experience Platform","SaaS","Moderate","FedRAMP Authorized","14","14"
"Nintex","Nintex Drawloop DocGen","SaaS","Moderate","FedRAMP Authorized","2","1"
"Nintex","Nintex Workflow Cloud for Government (NWC-G)","SaaS","Moderate","FedRAMP In Process","0","0"
"Noblis","RunCyberAssurance","PaaSSaaS","Moderate","FedRAMP Authorized","1","0"
"Nuance","Nuance Dragon","SaaS","Moderate","FedRAMP Authorized","2","1"
"Nucleus Security, Inc","Nucleus Vulnerability & Risk Management Platform","SaaS","Moderate","FedRAMP In Process","0","0"
"Nutanix","Nutanix Government Cloud Services","PaaSSaaS","Moderate","FedRAMP Ready","0","0"
"OCLC Incorporated","WorldShare Management Services","SaaS","LI-SaaS","FedRAMP Authorized","4","3"
"Okta","Okta IDaaS Government High Cloud (GHC)","SaaS","High","FedRAMP Authorized","3","2"
"Okta","Okta IDaaS Regulated Cloud","SaaS","Moderate","FedRAMP Authorized","23","336"
"OMB","MAX.gov Shared Services","SaaS","Moderate","FedRAMP Authorized","5","4"
